"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Alex Cobb",8400,"Cle@TB 07:10PM ET",0,"TB"
"SP","Andrew Cashner",8400,"SD@Phi 07:05PM ET",7.325,"SD"
"SP","Josh Tomlin",8400,"Cle@TB 07:10PM ET",0,"Cle"
"SP","Wei-Yin Chen",8400,"Mia@NYM 07:10PM ET",1.850,"Mia"
"SP","Matt Moore",8400,"Cle@TB 07:10PM ET",12.450,"TB"
"SP","Lance McCullers",8400,"KC@Hou 08:10PM ET",0,"Hou"
"SP","Brandon Morrow",8300,"SD@Phi 07:05PM ET",0,"SD"
"SP","Nathan Karns",8300,"Tex@Sea 10:10PM ET",10.450,"Sea"
"SP","Derek Holland",8300,"Tex@Sea 10:10PM ET",11.650,"Tex"
"SP","Johnny Cueto",8200,"SF@Col 08:40PM ET",19.050,"SF"
"SP","Wade Miley",8200,"Tex@Sea 10:10PM ET",13.300,"Sea"
"SP","Tyler Skaggs",8200,"LAA@Oak 10:05PM ET",0,"LAA"
"SP","Aaron Nola",8200,"SD@Phi 07:05PM ET",24.750,"Phi"
"SP","Ian Kennedy",8000,"KC@Hou 08:10PM ET",29.400,"KC"
"SP","Rick Porcello",7900,"Bal@Bos 07:10PM ET",18.700,"Bos"
"SP","Luis Severino",7900,"NYY@Tor 07:07PM ET",9.250,"NYY"
"SP","Collin McHugh",7700,"KC@Hou 08:10PM ET",5.050,"Hou"
"SP","Jerad Eickhoff",7700,"SD@Phi 07:05PM ET",8.450,"Phi"
"SP","C.J. Wilson",7500,"LAA@Oak 10:05PM ET",0,"LAA"
"SP","Rich Hill",7500,"LAA@Oak 10:05PM ET",17.550,"Oak"
"SP","Bud Norris",7500,"Atl@Was 07:05PM ET",7.800,"Atl"
"SP","A.J. Griffin",7500,"Tex@Sea 10:10PM ET",8.700,"Tex"
"SP","Eduardo Rodríguez",7500,"Bal@Bos 07:10PM ET",0,"Bos"
"SP","Mike Fiers",7400,"KC@Hou 08:10PM ET",1.850,"Hou"
"SP","Jeff Samardzija",7300,"SF@Col 08:40PM ET",11.400,"SF"
"SP","J.A. Happ",7200,"NYY@Tor 07:07PM ET",12.100,"Tor"
"SP","Lucas Giolito",7200,"Atl@Was 07:05PM ET",0,"Was"
"SP","CC Sabathia",7100,"NYY@Tor 07:07PM ET",12.700,"NYY"
"SP","Colby Lewis",7100,"Tex@Sea 10:10PM ET",17.300,"Tex"
"SP","Robbie Erlin",7100,"SD@Phi 07:05PM ET",15.650,"SD"
"SP","Andrew Heaney",7100,"LAA@Oak 10:05PM ET",15.300,"LAA"
"RP","Kevin Gausman",7100,"Bal@Bos 07:10PM ET",0,"Bal"
"SP","Chase Whitley",7100,"Cle@TB 07:10PM ET",0,"TB"
"SP","Joe Ross",7100,"Atl@Was 07:05PM ET",23.550,"Was"
"SP","R.A. Dickey",7000,"NYY@Tor 07:07PM ET",10.850,"Tor"
"SP","Ubaldo Jiménez",7000,"Bal@Bos 07:10PM ET",30.950,"Bal"
"SP","Mike Minor",7000,"KC@Hou 08:10PM ET",0,"KC"
"SP","Nathan Eovaldi",7000,"NYY@Tor 07:07PM ET",11.650,"NYY"
"SP","Charlie Morton",6900,"SD@Phi 07:05PM ET",-1.950,"Phi"
"SP","Jesse Chavez",6900,"NYY@Tor 07:07PM ET",2.700,"Tor"
"SP","Héctor Santiago",6900,"LAA@Oak 10:05PM ET",19.900,"LAA"
"SP","Martín Pérez",6900,"Tex@Sea 10:10PM ET",5.875,"Tex"
"SP","Burch Smith",6900,"Cle@TB 07:10PM ET",0,"TB"
"SP","Edinson Vólquez",6800,"KC@Hou 08:10PM ET",24.225,"KC"
"SP","Erasmo Ramírez",6800,"Cle@TB 07:10PM ET",6.600,"TB"
"SP","Jesse Hahn",6800,"LAA@Oak 10:05PM ET",0,"Oak"
"SP","Jeremy Hellickson",6700,"SD@Phi 07:05PM ET",22.025,"Phi"
"SP","Jarrod Parker",6700,"LAA@Oak 10:05PM ET",0,"Oak"
"SP","Jered Weaver",6600,"LAA@Oak 10:05PM ET",18.700,"LAA"
"SP","Marco Estrada",6600,"NYY@Tor 07:07PM ET",31.550,"Tor"
"SP","Tom Koehler",6600,"Mia@NYM 07:10PM ET",15.050,"Mia"
"SP","Colin Rea",6600,"SD@Phi 07:05PM ET",0.275,"SD"
"SP","Adam Conley",6600,"Mia@NYM 07:10PM ET",-2.150,"Mia"
"SP","Matt Wisler",6500,"Atl@Was 07:05PM ET",13.600,"Atl"
"SP","Vince Velásquez",6400,"SD@Phi 07:05PM ET",31.900,"Phi"
"SP","Chris Tillman",6300,"Bal@Bos 07:10PM ET",17.075,"Bal"
"SP","Jason Vargas",6200,"KC@Hou 08:10PM ET",0,"KC"
"SP","Kris Medlen",6200,"KC@Hou 08:10PM ET",0,"KC"
"SP","Tanner Roark",6200,"Atl@Was 07:05PM ET",1.800,"Was"
"SP","Manny Bañuelos",6200,"Atl@Was 07:05PM ET",0,"Atl"
"SP","Chris Bassitt",6200,"LAA@Oak 10:05PM ET",12.475,"Oak"
"SP","Yovani Gallardo",6000,"Bal@Bos 07:10PM ET",10.350,"Bal"
"SP","Brett Oberholtzer",6000,"SD@Phi 07:05PM ET",12.500,"Phi"
"SP","Jake Peavy",5900,"SF@Col 08:40PM ET",3.250,"SF"
"SP","Chris Young",5900,"KC@Hou 08:10PM ET",5.775,"KC"
"SP","Jarred Cosart",5900,"Mia@NYM 07:10PM ET",6.300,"Mia"
"SP","Aarón Sánchez",5900,"NYY@Tor 07:07PM ET",26.750,"Tor"
"SP","Joe Kelly",5800,"Bal@Bos 07:10PM ET",-5.850,"Bos"
"SP","Williams Pérez",5800,"Atl@Was 07:05PM ET",6.300,"Atl"
"SP","Jon Gray",5800,"SF@Col 08:40PM ET",0,"Col"
"SP","Cody Anderson",5800,"Cle@TB 07:10PM ET",8.700,"Cle"
"SP","Jorge De La Rosa",5700,"SF@Col 08:40PM ET",2.150,"Col"
"SP","Scott Feldman",5700,"KC@Hou 08:10PM ET",6.200,"Hou"
"SP","Steven Wright",5700,"Bal@Bos 07:10PM ET",17.600,"Bos"
"SP","Drew Pomeranz",5700,"SD@Phi 07:05PM ET",21.050,"SD"
"SP","Jhoulys Chacin",5700,"Atl@Was 07:05PM ET",0,"Atl"
"SP","Kyle Zimmer",5700,"KC@Hou 08:10PM ET",0,"KC"
"SP","Henderson Álvarez",5600,"LAA@Oak 10:05PM ET",0,"Oak"
"SP","Bartolo Colón",5500,"Mia@NYM 07:10PM ET",13.450,"NYM"
"SP","Felix Doubront",5400,"LAA@Oak 10:05PM ET",0,"Oak"
"SP","Iván Nova",5400,"NYY@Tor 07:07PM ET",16.000,"NYY"
"SP","Brandon Workman",5400,"Bal@Bos 07:10PM ET",0,"Bos"
